HeureDeb;DeciDeb;HeureFin;DeciFin;Behavior;Debut (s);Fin (s);Start (s);Stop (s);Duration (s);heure;
06:18:22;0,9;06:19:23;0,1;Stay in surface;22702.9;22763.1;1102.9;1163.1;60.2;06:00:00;21600
06:19:23;0,1;06:19:33;0,2;Swimming descent;22763.1;22773.2;1163.1;1173.2;10.1;;
06:19:33;0,2;06:20:02;0,3;Gliding descent;22773.2;22802.3;1173.2;1202.3;29.1;;
06:20:02;0,3;06:20:15;0,2;Swimming horizontally;22802.3;22815.2;1202.3;1215.2;12.9;;
06:20:15;0,2;06:21:01;0,2;Swimming ascent;22815.2;22861.2;1215.2;1261.2;46;;
06:21:01;0,2;06:21:04;0,4;Breathing;22861.2;22864.4;1261.2;1264.4;3.2;;
06:21:04;0,4;06:21:36;0,8;Swimming descent;22864.4;22896.8;1264.4;1296.8;32.4;;
06:21:36;0,8;06:21:50;0,2;Swimming horizontally;22896.8;22910.2;1296.8;1310.2;13.4;;
06:21:50;0,2;06:22:07;0,4;Left U-turn;22910.2;22927.4;1310.2;1327.4;17.2;;
06:22:07;0,4;06:22:16;0,1;Scratching head;22927.4;22936.1;1327.4;1336.1;8.7;;
06:22:16;0,1;06:24:54;0,2;Resting in flow;22936.1;23094.2;1336.1;1494.2;158.1;;
06:24:54;0,2;06:24:57;0,6;Obstacle;23094.2;23097.6;1494.2;1497.6;3.4;;
06:24:57;0,6;06:30:51;0,7;Resting in flow;23097.6;23451.7;1497.6;1851.7;354.1;;
06:30:51;0,7;06:31:11;0,4;Interaction;23451.7;23471.4;1851.7;1871.4;19.7;;
06:31:11;0,4;06:37:10;0;Resting in flow;23471.4;23830;1871.4;2230;358.6;;
06:37:10;0;06:37:23;0,2;Swimming ascent;23830;23843.2;2230;2243.2;13.2;;
06:37:23;0,2;06:37:32;0,4;Gliding ascent;23843.2;23852.4;2243.2;2252.4;9.2;;
06:37:32;0,4;06:39:00;0;Stay in surface;23852.4;23940;2252.4;2340;87.6;;
06:39:00;0;06:39:18;0,8;Swimming descent;23940;23958.8;2340;2358.8;18.8;;
06:39:18;0,8;06:39:35;0,9;Gliding descent;23958.8;23975.9;2358.8;2375.9;17.1;;
06:39:35;0,9;06:40:38;0,6;Swimming horizontally;23975.9;24038.6;2375.9;2438.6;62.7;;
06:40:38;0,6;06:40:50;0;Left U-turn;24038.6;24050;2438.6;2450;11.4;;
06:40:50;0;06:40:53;0,1;Swimming on the bottom;24050;24053.1;2450;2453.1;3.1;;
06:40:53;0,1;06:40:59;0,5;Scratching head;24053.1;24059.5;2453.1;2459.5;6.4;;
06:40:59;0,5;06:55:28;0;Resting watching;24059.5;24928;2459.5;3328;868.5;;
06:55:28;0;06:55:37;0,5;Swimming ascent;24928;24937.5;3328;3337.5;9.5;;
06:55:37;0,5;06:55:39;0,6;Gliding ascent;24937.5;24939.6;3337.5;3339.6;2.1;;
06:55:39;0,6;06:55:42;0,2;Swimming ascent;24939.6;24942.2;3339.6;3342.2;2.6;;
06:55:42;0,2;06:55:45;0,2;Gliding ascent;24942.2;24945.2;3342.2;3345.2;3;;
06:55:45;0,2;06:56:33;0,1;Stay in surface;24945.2;24993.1;3345.2;3393.1;47.9;;
06:56:33;0,1;06:56:43;0,2;Swimming descent;24993.1;25003.2;3393.1;3403.2;10.1;;
06:56:43;0,2;06:57:03;0,2;Gliding descent;25003.2;25023.2;3403.2;3423.2;20;;
06:57:03;0,2;06:57:15;0;Swimming descent;25023.2;25035;3423.2;3435;11.8;;
06:57:15;0;06:57:34;0,4;Swimming horizontally;25035;25054.4;3435;3454.4;19.4;;
06:57:34;0,4;06:57:48;0,1;Swimming ascent;25054.4;25068.1;3454.4;3468.1;13.7;;
06:57:48;0,1;06:57:54;0,2;Gliding ascent;25068.1;25074.2;3468.1;3474.2;6.1;;
06:57:54;0,2;06:58:03;0,1;Flipper beat;25074.2;25083.1;3474.2;3483.1;8.9;;
06:58:03;0,1;06:58:12;0,6;Gliding ascent;25083.1;25092.6;3483.1;3492.6;9.5;;
06:58:12;0,6;06:58:21;0,8;Stay in surface;25092.6;25101.8;3492.6;3501.8;9.2;;
06:58:21;0,8;06:59:00;0,4;Swimming descent;25101.8;25140.4;3501.8;3540.4;38.6;;
06:59:00;0,4;07:00:07;0,4;Swimming horizontally;25140.4;25207.4;3540.4;3607.4;67;;
