HeureDeb;DeciDeb;HeureFin;DeciFin;Behavior;Debut (s);Fin (s);Start (s);Stop (s);Duration (s);heure;deb;
14:07:00;0.467;14:07:41;0.939;Time mark;50820.467;50861.939;89.4669999999969;130.938999999998;41.4720000000016;14:05:31;50731;50731
14:15:13;0.1;14:21:11;0.158;Swimming horizontally;51313.1;51671.158;582.099999999999;940.158000000003;358.058000000005;;;
14:21:11;0.158;14:21:18;0.844;Swimming ascent;51671.158;51678.844;940.158000000003;947.843999999997;7.68599999999424;;;
14:21:18;0.844;14:21:21;0.941;Breathing;51678.844;51681.941;947.843999999997;950.940999999999;3.09700000000157;;;
14:21:21;0.941;14:21:28;0.945;Swimming descent;51681.941;51688.945;950.940999999999;957.945;7.00400000000081;;;
14:21:28;0.945;14:25:00;0.325;Swimming horizontally;51688.945;51900.325;957.945;1169.325;211.379999999997;;;
14:25:00;0.325;14:25:05;0.637;Right U-turn;51900.325;51905.637;1169.325;1174.637;5.31200000000536;;;
14:25:05;0.637;14:26:08;0.066;Swimming horizontally;51905.637;51968.066;1174.637;1237.066;62.4289999999964;;;
14:26:08;0.066;14:26:18;0.928;Left U-turn;51968.066;51978.928;1237.066;1247.928;10.862000000001;;;
14:26:18;0.928;14:27:33;0.291;Swimming horizontally;51978.928;52053.291;1247.928;1322.291;74.3629999999976;;;
14:27:33;0.291;14:27:40;0.037;Swimming ascent;52053.291;52060.037;1322.291;1329.037;6.74599999999919;;;
14:27:40;0.037;14:27:50;0.573;Swimming descent;52060.037;52070.573;1329.037;1339.573;10.5360000000001;;;
14:27:50;0.573;14:28:01;0.594;Swimming horizontally;52070.573;52081.594;1339.573;1350.594;11.0210000000006;;;
14:28:01;0.594;14:28:05;0.405;Swimming ascent;52081.594;52085.405;1350.594;1354.405;3.81100000000151;;;
14:28:05;0.405;14:28:09;0.247;Breathing;52085.405;52089.247;1354.405;1358.247;3.84200000000419;;;
14:28:09;0.247;14:28:22;0.312;Swimming descent;52089.247;52102.312;1358.247;1371.312;13.0649999999951;;;
14:28:22;0.312;14:32:12;0.184;Swimming horizontally;52102.312;52332.184;1371.312;1601.184;229.872000000003;;;
14:32:12;0.184;14:32:56;0.401;Swimming horizontally;52332.184;52376.401;1601.184;1645.401;44.2169999999969;;;
14:32:56;0.401;14:33:13;0.337;Swimming on the bottom;52376.401;52393.337;1645.401;1662.337;16.9360000000015;;;
14:33:13;0.337;14:34:22;0.451;Swimming horizontally;52393.337;52462.451;1662.337;1731.451;69.1140000000014;;;
14:34:22;0.451;14:34:32;0.8;Swimming ascent;52462.451;52472.8;1731.451;1741.8;10.349000000002;;;
14:34:32;0.8;14:34:41;0;Swimming descent;52472.8;52481;1741.8;1750;8.19999999999709;;;
14:34:41;0;14:36:21;0.373;Swimming horizontally;52481;52581.373;1750;1850.373;100.373;;;
14:36:21;0.373;14:36:40;0.109;Swimming ascent;52581.373;52600.109;1850.373;1869.109;18.7359999999971;;;
14:36:40;0.109;14:36:43;0.692;Breathing;52600.109;52603.692;1869.109;1872.692;3.583000000006;;;
14:36:43;0.692;14:36:55;0.313;Swimming descent;52603.692;52615.313;1872.692;1884.313;11.6209999999992;;;
14:36:55;0.313;14:39:06;0.248;Swimming horizontally;52615.313;52746.248;1884.313;2015.248;130.934999999998;;;
14:39:06;0.248;14:39:10;0.576;Right U-turn;52746.248;52750.576;2015.248;2019.576;4.32800000000134;;;
14:39:10;0.576;14:42:47;0.95;Swimming horizontally;52750.576;52967.95;2019.576;2236.95;217.373999999996;;;
14:42:47;0.95;14:42:52;0.2;Swimming ascent;52967.95;52972.2;2236.95;2241.2;4.25;;;
14:42:52;0.2;14:42:59;0.3;Swimming horizontally;52972.2;52979.3;2241.2;2248.3;7.10000000000582;;;
14:42:59;0.3;14:43:05;0.857;Swimming ascent;52979.3;52985.857;2248.3;2254.857;6.5570000000007;;;
14:43:05;0.857;14:43:13;0;Swimming descent;52985.857;52993;2254.857;2262;7.14299999999639;;;
14:43:13;0;14:43:19;0.25;Swimming horizontally;52993;52999.25;2262;2268.25;6.25;;;
14:43:19;0.25;14:43:26;0.9;Swimming descent;52999.25;53006.9;2268.25;2275.9;7.65000000000146;;;
14:43:26;0.9;14:43:36;0.5;Swimming horizontally;53006.9;53016.5;2275.9;2285.5;9.59999999999854;;;
14:43:36;0.5;14:43:43;0.6;Swimming ascent;53016.5;53023.6;2285.5;2292.6;7.09999999999854;;;
14:43:43;0.6;14:44:14;0.5;Swimming horizontally;53023.6;53054.5;2292.6;2323.5;30.9000000000015;;;
14:44:14;0.5;14:44:19;0.5;Swimming descent;53054.5;53059.5;2323.5;2328.5;5;;;
14:44:19;0.5;14:44:27;0.1;Swimming ascent;53059.5;53067.1;2328.5;2336.1;7.59999999999854;;;
14:44:27;0.1;14:44:32;0;Swimming descent;53067.1;53072;2336.1;2341;4.90000000000146;;;
14:44:32;0;14:44:35;0.109;Swimming ascent;53072;53075.109;2341;2344.109;3.10899999999674;;;
14:44:35;0.109;14:44:48;0.719;Swimming descent;53075.109;53088.719;2344.109;2357.719;13.6100000000006;;;
14:44:48;0.719;14:44:54;0.163;Swimming ascent;53088.719;53094.163;2357.719;2363.163;5.44400000000314;;;
14:44:54;0.163;14:44:59;0;Swimming descent;53094.163;53099;2363.163;2368;4.83699999999953;;;
14:44:59;0;14:45:06;0.955;Swimming ascent;53099;53106.955;2368;2375.955;7.95500000000175;;;
14:45:06;0.955;14:45:12;0.1;Swimming horizontally;53106.955;53112.1;2375.955;2381.1;5.1449999999968;;;
14:45:12;0.1;14:45:16;0.5;Swimming ascent;53112.1;53116.5;2381.1;2385.5;4.40000000000146;;;
14:45:16;0.5;14:45:18;0.45;Breathing;53116.5;53118.45;2385.5;2387.45;1.94999999999709;;;
14:45:18;0.45;14:45:36;0.514;Swimming descent;53118.45;53136.514;2387.45;2405.514;18.0640000000058;;;
14:45:36;0.514;14:47:01;0.84;Swimming horizontally;53136.514;53221.84;2405.514;2490.84;85.3259999999937;;;
14:47:01;0.84;14:47:17;0.177;Left U-turn;53221.84;53237.177;2490.84;2506.177;15.3370000000068;;;
14:47:17;0.177;14:48:26;0.697;Swimming horizontally;53237.177;53306.697;2506.177;2575.697;69.5199999999968;;;
14:48:26;0.697;14:48:33;0.993;Left U-turn;53306.697;53313.993;2575.697;2582.993;7.2960000000021;;;
14:48:33;0.993;14:49:10;0.709;Swimming horizontally;53313.993;53350.709;2582.993;2619.709;36.7160000000003;;;
14:49:10;0.709;14:49:27;0;Swimming ascent;53350.709;53367;2619.709;2636;16.2909999999974;;;
14:49:27;0;14:49:41;0;Swimming descent;53367;53381;2636;2650;14;;;
14:49:41;0;14:50:01;0.1;Swimming ascent;53381;53401.1;2650;2670.1;20.0999999999985;;;
14:50:01;0.1;14:50:09;0.45;Swimming descent;53401.1;53409.45;2670.1;2678.45;8.34999999999854;;;
14:50:09;0.45;14:51:18;0.115;Swimming horizontally;53409.45;53478.115;2678.45;2747.115;68.6650000000009;;;
14:51:18;0.115;14:51:27;0.95;Swimming ascent;53478.115;53487.95;2747.115;2756.95;9.83499999999913;;;
14:51:27;0.95;14:51:33;0;Swimming horizontally;53487.95;53493;2756.95;2762;5.05000000000291;;;
14:51:33;0;14:51:37;0.75;Swimming ascent;53493;53497.75;2762;2766.75;4.75;;;
14:51:37;0.75;14:51:45;0.6;Swimming horizontally;53497.75;53505.6;2766.75;2774.6;7.84999999999854;;;
14:51:45;0.6;14:52:10;0.2;Swimming ascent;53505.6;53530.2;2774.6;2799.2;24.5999999999985;;;
14:52:10;0.2;14:52:17;0;Breathing;53530.2;53537;2799.2;2806;6.80000000000291;;;
14:52:17;0;14:52:39;0.95;Swimming descent;53537;53559.95;2806;2828.95;22.9499999999971;;;
14:52:39;0.95;14:58:56;0.149;Swimming horizontally;53559.95;53936.149;2828.95;3205.149;376.199000000001;;;
14:58:56;0.149;14:59:14;0.05;Swimming ascent;53936.149;53954.05;3205.149;3223.05;17.9010000000053;;;
14:59:14;0.05;14:59:26;0.05;Swimming horizontally;53954.05;53966.05;3223.05;3235.05;12;;;
14:59:26;0.05;14:59:40;0.1;Swimming descent;53966.05;53980.1;3235.05;3249.1;14.0499999999956;;;
14:59:40;0.1;14:59:48;0;Swimming ascent;53980.1;53988;3249.1;3257;7.90000000000146;;;
14:59:48;0;14:59:58;0;Swimming descent;53988;53998;3257;3267;10;;;
14:59:58;0;15:00:08;0.1;Swimming ascent;53998;54008.1;3267;3277.1;10.0999999999985;;;
15:00:08;0.1;15:00:14;0.5;Swimming descent;54008.1;54014.5;3277.1;3283.5;6.40000000000146;;;
15:00:14;0.5;15:00:30;0.5;Swimming ascent;54014.5;54030.5;3283.5;3299.5;16;;;
15:00:30;0.5;15:00:38;0.8;Swimming horizontally;54030.5;54038.8;3299.5;3307.8;8.30000000000291;;;
15:00:38;0.8;15:00:40;0.55;Swimming ascent;54038.8;54040.55;3307.8;3309.55;1.75;;;
15:00:40;0.55;15:00:43;0.557;Breathing;54040.55;54043.557;3309.55;3312.557;3.00699999999779;;;
15:00:43;0.557;15:01:09;0.65;Swimming descent;54043.557;54069.65;3312.557;3338.65;26.0930000000008;;;
15:01:09;0.65;15:03:00;0.17;Swimming horizontally;54069.65;54180.17;3338.65;3449.17;110.519999999997;;;
15:03:00;0.17;15:03:41;0.4;Swimming on the bottom;54180.17;54221.4;3449.17;3490.4;41.2300000000032;;;
15:03:41;0.4;15:08:40;0.966;Swimming horizontally;54221.4;54520.966;3490.4;3789.966;299.565999999999;;;
15:08:40;0.966;15:08:58;0.75;Swimming ascent;54520.966;54538.75;3789.966;3807.75;17.7839999999997;;;
15:08:58;0.75;15:09:00;0.35;Breathing;54538.75;54540.35;3807.75;3809.35;1.59999999999854;;;
15:09:00;0.35;15:09:19;0.604;Swimming descent;54540.35;54559.604;3809.35;3828.604;19.2540000000008;;;
15:09:19;0.604;15:10:58;0.005;Swimming horizontally;54559.604;54658.005;3828.604;3927.005;98.400999999998;;;
15:10:58;0.005;15:11:12;0.523;Swimming ascent;54658.005;54672.523;3927.005;3941.523;14.5180000000037;;;
15:11:12;0.523;15:11:28;0;Swimming horizontally;54672.523;54688;3941.523;3957;15.476999999999;;;
15:11:28;0;15:11:40;0.983;Swimming descent;54688;54700.983;3957;3969.983;12.9830000000002;;;
15:11:40;0.983;15:11:56;0.187;Swimming horizontally;54700.983;54716.187;3969.983;3985.187;15.2039999999979;;;
15:11:56;0.187;15:12:12;0.844;Swimming ascent;54716.187;54732.844;3985.187;4001.844;16.6569999999992;;;
15:12:12;0.844;15:12:38;0.9;Swimming descent;54732.844;54758.9;4001.844;4027.9;26.0560000000041;;;
15:12:38;0.9;15:14:09;0;Swimming horizontally;54758.9;54849;4027.9;4118;90.0999999999985;;;
15:14:09;0;15:14:16;0;Swimming ascent;54849;54856;4118;4125;7;;;
15:14:16;0;15:14:22;0.3;Swimming descent;54856;54862.3;4125;4131.3;6.30000000000291;;;
15:14:22;0.3;15:14:44;0.948;Swimming horizontally;54862.3;54884.948;4131.3;4153.948;22.6479999999938;;;
15:14:44;0.948;15:14:53;0.177;Swimming ascent;54884.948;54893.177;4153.948;4162.177;8.22900000000664;;;
15:14:53;0.177;15:14:54;0.6;Breathing;54893.177;54894.6;4162.177;4163.6;1.42299999999523;;;
15:14:54;0.6;15:15:02;0.479;Swimming descent;54894.6;54902.479;4163.6;4171.479;7.87900000000081;;;
15:15:02;0.479;15:18:29;0.1;Swimming horizontally;54902.479;55109.1;4171.479;4378.1;206.620999999999;;;
15:18:29;0.1;15:18:37;0.25;Swimming ascent;55109.1;55117.25;4378.1;4386.25;8.15000000000146;;;
