HeureDeb;DeciDeb;HeureFin;DeciFin;Behavior;Debut (s);Fin (s);Start (s);Stop (s);Duration (s);heure
11:03:00;0.7;11:03:22;0.45;Swimming horizontally;39780.7;39802.45;538.7;560.45;21.75;0.454189815
11:03:22;0.45;11:03:34;0.75;Swimming ascent;39802.45;39814.75;560.45;572.75;12.3;
11:03:34;0.75;11:03:36;0.55;Breathing;39814.75;39816.55;572.75;574.55;1.8;
11:03:36;0.55;11:03:52;0.7;Swimming descent;39816.55;39832.7;574.55;590.7;16.15;
11:03:52;0.7;11:04:04;0.45;Swimming horizontally;39832.7;39844.45;590.7;602.45;11.75;
11:04:04;0.45;11:04:20;0.3;Swimming ascent;39844.45;39860.3;602.45;618.3;15.85;
11:04:20;0.3;11:04:22;0.35;Breathing;39860.3;39862.35;618.3;620.35;2.05;
11:04:22;0.35;11:04:41;0.4;Swimming descent;39862.35;39881.4;620.35;639.4;19.05;
11:04:41;0.4;11:04:47;0.6;Swimming horizontally;39881.4;39887.6;639.4;645.6;6.2;
11:04:47;0.6;11:05:05;0.7;Swimming ascent;39887.6;39905.7;645.6;663.7;18.1;
11:05:05;0.7;11:05:07;0.75;Breathing;39905.7;39907.75;663.7;665.75;2.05;
11:05:07;0.75;11:05:18;0.3;Swimming descent;39907.75;39918.3;665.75;676.3;10.55;
11:05:18;0.3;11:05:31;0.6;Swimming ascent;39918.3;39931.6;676.3;689.6;13.3;
11:05:31;0.6;11:05:33;0.35;Breathing;39931.6;39933.35;689.6;691.35;1.75;
11:05:33;0.35;11:05:53;0.55;Swimming descent;39933.35;39953.55;691.35;711.55;20.2;
11:05:53;0.55;11:06:07;0.1;Swimming horizontally;39953.55;39967.1;711.55;725.1;13.55;
11:06:07;0.1;11:06:27;0.95;Swimming ascent;39967.1;39987.95;725.1;745.95;20.85;
11:06:27;0.95;11:06:30;0.7;Breathing;39987.95;39990.7;745.95;748.7;2.75;
11:06:30;0.7;11:06:39;0.9;Swimming descent;39990.7;39999.9;748.7;757.9;9.2;
11:06:39;0.9;11:06:48;0.35;Swimming ascent;39999.9;40008.35;757.9;766.35;8.45;
11:06:48;0.35;11:06:50;0.35;Breathing;40008.35;40010.35;766.35;768.35;2;
11:06:50;0.35;11:07:02;0.4;Swimming descent;40010.35;40022.4;768.35;780.4;12.05;
11:07:02;0.4;11:07:13;0;Swimming ascent;40022.4;40033;780.4;791;10.6;
11:07:13;0;11:07:15;0;Breathing;40033;40035;791;793;2;
11:07:15;0;11:07:30;0.75;Swimming descent;40035;40050.75;793;808.75;15.75;
11:07:30;0.75;11:07:34;0.85;Gliding descent;40050.75;40054.85;808.75;812.85;4.1;
11:07:34;0.85;11:07:40;0.3;Swimming horizontally;40054.85;40060.3;812.85;818.3;5.45;
11:07:40;0.3;11:07:43;0.5;Swimming 1 horizontally;40060.3;40063.5;818.3;821.5;3.2;
11:07:43;0.5;11:07:53;0.8;Swimming horizontally;40063.5;40073.8;821.5;831.8;10.3;
11:07:53;0.8;11:07:59;0.7;Watching;40073.8;40079.7;831.8;837.7;5.9;
11:07:59;0.7;11:08:10;0.1;Swimming horizontally;40079.7;40090.1;837.7;848.1;10.4;
11:08:10;0.1;11:08:22;0.6;Swimming ascent;40090.1;40102.6;848.1;860.6;12.5;
11:08:22;0.6;11:08:29;0.4;Gliding ascent;40102.6;40109.4;860.6;867.4;6.8;
11:08:29;0.4;11:08:56;0.25;Stay in surface;40109.4;40136.25;867.4;894.25;26.85;
11:08:56;0.25;11:09:14;0;Swimming descent;40136.25;40154;894.25;912;17.75;
11:09:14;0;11:09:20;0.2;Swimming 1 horizontally;40154;40160.2;912;918.2;6.2;
11:09:20;0.2;11:09:25;0.4;Gliding descent;40160.2;40165.4;918.2;923.4;5.2;
11:09:25;0.4;11:09:30;0.2;Swimming horizontally;40165.4;40170.2;923.4;928.2;4.8;
11:09:30;0.2;11:09:35;0.75;Sand;40170.2;40175.75;928.2;933.75;5.55;
11:09:35;0.75;11:09:59;0.6;Swimming on the bottom;40175.75;40199.6;933.75;957.6;23.85;
11:09:59;0.6;11:10:44;0.3;Resting watching;40199.6;40244.3;957.6;1002.3;44.7;
11:10:44;0.3;11:10:47;0.55;Right U-turn;40244.3;40247.55;1002.3;1005.55;3.25;
11:10:47;0.55;11:10:51;0.3;Swimming 1 ascent;40247.55;40251.3;1005.55;1009.3;3.75;
11:10:51;0.3;11:10:57;0.9;Watching;40251.3;40257.9;1009.3;1015.9;6.6;
11:10:57;0.9;11:11:16;0.8;Swimming ascent;40257.9;40276.8;1015.9;1034.8;18.9;
11:11:16;0.8;11:11:21;0.2;Gliding ascent;40276.8;40281.2;1034.8;1039.2;4.4;
11:11:21;0.2;11:11:24;0.35;Breathing;40281.2;40284.35;1039.2;1042.35;3.15;
11:11:24;0.35;11:11:31;0.6;Swimming descent;40284.35;40291.6;1042.35;1049.6;7.25;
11:11:31;0.6;11:11:36;0.65;Swimming ascent;40291.6;40296.65;1049.6;1054.65;5.05;
11:11:36;0.65;11:11:39;0.3;Breathing;40296.65;40299.3;1054.65;1057.3;2.65;
11:11:39;0.3;11:11:43;0.4;Swimming descent;40299.3;40303.4;1057.3;1061.4;4.1;
11:11:43;0.4;11:11:46;0.65;Hunting jellyfish;40303.4;40306.65;1061.4;1064.65;3.25;
11:11:46;0.65;11:11:49;0.5;Catching;40306.65;40309.5;1064.65;1067.5;2.85;
11:11:49;0.5;11:11:50;0.95;Swimming 1 descent;40309.5;40310.95;1067.5;1068.95;1.45;
11:11:50;0.95;11:12:05;0.75;Swimming ascent;40310.95;40325.75;1068.95;1083.75;14.8;
